Country,Coffee type,Period,Consumption
Angola,Robusta/Arabica,1990/91,1200000
Bolivia (Plurinational State of),Arabica,1990/91,1500000
Brazil,Arabica/Robusta,1990/91,492000000
Burundi,Arabica/Robusta,1990/91,120000
Ecuador,Arabica/Robusta,1990/91,21000000
Indonesia,Robusta/Arabica,1990/91,74520000
Madagascar,Robusta,1990/91,21000000
Malawi,Arabica,1990/91,120000
Papua New Guinea,Arabica/Robusta,1990/91,180000
Paraguay,Arabica,1990/91,900000
Peru,Arabica,1990/91,11400000
Rwanda,Arabica,1990/91,60000
Timor-Leste,Arabica,1990/91,0
Zimbabwe,Arabica,1990/91,480000
Congo,Robusta,1990/91,180000
Cuba,Arabica,1990/91,12780000
Dominican Republic,Arabica/Robusta,1990/91,19200000
Haiti,Arabica,1990/91,13200000
Philippines,Robusta/Arabica,1990/91,43200000
Tanzania,Arabica/Robusta,1990/91,240000
Zambia,Arabica,1990/91,90000
Cameroon,Robusta/Arabica,1990/91,4998000
Central African Republic,Robusta,1990/91,1680000
Colombia,Arabica,1990/91,74100000
Costa Rica,Arabica,1990/91,22500000
Côte d'Ivoire,Robusta,1990/91,3000000
Democratic Republic of Congo,Robusta/Arabica,1990/91,12000000
El Salvador,Arabica,1990/91,10800000
Equatorial Guinea,Robusta,1990/91,0
Ethiopia,Arabica,1990/91,72000000
Gabon,Robusta,1990/91,102000
Ghana,Robusta,1990/91,1020000
Guatemala,Arabica/Robusta,1990/91,18000000
Guinea,Robusta,1990/91,1500000
Guyana,Robusta,1990/91,0
Honduras,Arabica,1990/91,11289240
India,Robusta/Arabica,1990/91,54180000
Jamaica,Arabica,1990/91,420000
Kenya,Arabica,1990/91,3000000
Lao People's Democratic Republic,Robusta,1990/91,0
Liberia,Robusta,1990/91,180000
Mexico,Arabica/Robusta,1990/91,82440000
Nepal,Arabica,1990/91,0
Nicaragua,Arabica,1990/91,2040000
Nigeria,Robusta,1990/91,1650000
Panama,Arabica,1990/91,3780000
Sierra Leone,Robusta,1990/91,540000
Sri Lanka,Robusta/Arabica,1990/91,4000020
Thailand,Robusta/Arabica,1990/91,11280000
Togo,Robusta,1990/91,60000
Trinidad & Tobago,Robusta,1990/91,480000
Uganda,Robusta/Arabica,1990/91,4200000
