Country,Year,Inventory
   Austria,1990,19980000
   Cyprus,1990,600000
   Denmark,1990,5340000
   Finland,1990,10560000
   France,1990,34380000
   Germany,1990,240000000
   Ireland,1990,0
   Italy,1990,12900000
   Netherlands,1990,105120000
   Portugal,1990,4080000
   Spain,1990,12000000
   Sweden,1990,5220000
Japan,1990,90000000
Norway,1990,7440000
Switzerland,1990,19260000
United Kingdom,1990,11340000
United States of America,1990,358920000
Unspecified EU stocks,1990,145980000
   Austria,1991,19980000
   Cyprus,1991,720000
   Denmark,1991,5340000
   Finland,1991,13380000
   France,1991,33720000
   Germany,1991,96000000
   Ireland,1991,0
   Italy,1991,11340000
   Netherlands,1991,105120000
   Portugal,1991,8580000
   Spain,1991,15000000
   Sweden,1991,5220000
Japan,1991,70020000
Norway,1991,7440000
Switzerland,1991,21060000
United Kingdom,1991,10080000
United States of America,1991,369000000
Unspecified EU stocks,1991,165480000
   Austria,1992,22020000
   Cyprus,1992,600000
   Denmark,1992,5340000
   Finland,1992,12780000
   France,1992,32220000
   Germany,1992,150000000
   Ireland,1992,0
   Italy,1992,11220000
   Netherlands,1992,62880000
   Portugal,1992,7260000
   Spain,1992,19980000
   Sweden,1992,5220000
Japan,1992,79980000
Norway,1992,7440000
Switzerland,1992,18120000
United Kingdom,1992,10200000
United States of America,1992,565320000
Unspecified EU stocks,1992,149100000
   Austria,1993,19980000
   Cyprus,1993,480000
   Denmark,1993,5340000
   Finland,1993,11280000
   France,1993,23340000
   Germany,1993,120000000
   Ireland,1993,0
   Italy,1993,13680000
   Netherlands,1993,42420000
   Portugal,1993,13200000
   Spain,1993,15000000
   Sweden,1993,5220000
Japan,1993,75000000
Norway,1993,7440000
Switzerland,1993,19620000
United Kingdom,1993,12240000
United States of America,1993,468840000
Unspecified EU stocks,1993,115200000
   Austria,1994,16980000
   Cyprus,1994,780000
   Denmark,1994,5340000
   Finland,1994,16920000
   France,1994,28860000
   Germany,1994,234000000
   Ireland,1994,0
   Italy,1994,13320000
   Netherlands,1994,42420000
   Portugal,1994,9540000
   Spain,1994,16020000
   Sweden,1994,5220000
Japan,1994,88020000
Norway,1994,7440000
Switzerland,1994,17160000
United Kingdom,1994,12780000
United States of America,1994,245220000
Unspecified EU stocks,1994,127320000
   Austria,1995,16440000
   Cyprus,1995,780000
   Denmark,1995,5340000
   Finland,1995,13200000
   France,1995,18060000
   Germany,1995,138000000
   Ireland,1995,0
   Italy,1995,13020000
   Netherlands,1995,42420000
   Portugal,1995,5160000
   Spain,1995,17040000
   Sweden,1995,5220000
Japan,1995,49980000
Norway,1995,7440000
Switzerland,1995,11580000
United Kingdom,1995,11220000
United States of America,1995,119400000
Unspecified EU stocks,1995,82860000
   Austria,1996,14760000
   Cyprus,1996,720000
   Denmark,1996,5340000
   Finland,1996,8400000
   France,1996,15960000
   Germany,1996,96000000
   Ireland,1996,0
   Italy,1996,13380000
   Netherlands,1996,42420000
   Portugal,1996,6900000
   Spain,1996,18180000
   Sweden,1996,5220000
Japan,1996,58980000
Norway,1996,7440000
Switzerland,1996,8400000
United Kingdom,1996,7920000
United States of America,1996,79620000
Unspecified EU stocks,1996,73320000
   Austria,1997,13860000
   Cyprus,1997,360000
   Denmark,1997,5340000
   Finland,1997,10860000
   France,1997,19020000
   Germany,1997,114000000
   Ireland,1997,0
   Italy,1997,13620000
   Netherlands,1997,42420000
   Portugal,1997,7860000
   Spain,1997,19380000
   Sweden,1997,5220000
Japan,1997,55020000
Norway,1997,7440000
Switzerland,1997,7080000
United Kingdom,1997,6600000
United States of America,1997,85680000
Unspecified EU stocks,1997,93060000
   Austria,1998,12600000
   Cyprus,1998,540000
   Denmark,1998,5340000
   Finland,1998,9720000
   France,1998,21000000
   Germany,1998,96000000
   Ireland,1998,0
   Italy,1998,14040000
   Netherlands,1998,42420000
   Portugal,1998,6060000
   Spain,1998,20640000
   Sweden,1998,5220000
Japan,1998,52980000
