Year,Month,Period,Origin_CountryISO,Origin_CountryName,FlowCode,Trade_Type,PartnerISO,Partner_CountryName,CmdCode,CmdDesc,Product_Type,Qty_in_kg,Trade_Amount
2017,1,201701,BRA,Brazil,X,Export,ALB,Albania,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",58000.0,164736
2017,1,201701,BRA,Brazil,X,Export,DZA,Algeria,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",116000.0,276446
2017,1,201701,BRA,Brazil,X,Export,AGO,Angola,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",810.0,7148
2017,1,201701,BRA,Brazil,X,Export,ARG,Argentina,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",1240000.0,3625482
2017,1,201701,BRA,Brazil,X,Export,ARG,Argentina,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",27320.0,222701
2017,1,201701,BRA,Brazil,X,Export,AUS,Australia,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",1610000.0,5240122
2017,1,201701,BRA,Brazil,X,Export,AUT,Austria,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",126000.0,506419
2017,1,201701,BRA,Brazil,X,Export,BEL,Belgium,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",11553000.0,34746975
2017,1,201701,BRA,Brazil,X,Export,BOL,"Bolivia, Plurinational State of",90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",1442.0,7851
2017,1,201701,BRA,Brazil,M,Import,BRA,Brazil,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",8.0,725
2017,1,201701,BRA,Brazil,X,Export,BGR,Bulgaria,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",362000.0,922859
2017,1,201701,BRA,Brazil,X,Export,CPV,Cabo Verde,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",500.0,1670
2017,1,201701,BRA,Brazil,X,Export,CAN,Canada,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",3394000.0,9819215
2017,1,201701,BRA,Brazil,X,Export,CAN,Canada,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",186.0,1067
2017,1,201701,BRA,Brazil,X,Export,CHL,Chile,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",1172000.0,3279565
2017,1,201701,BRA,Brazil,X,Export,CHL,Chile,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",4530.0,29368
2017,1,201701,BRA,Brazil,X,Export,CHN,China,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",442000.0,1471315
2017,1,201701,BRA,Brazil,X,Export,CHN,China,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",26676.0,166627
2017,1,201701,BRA,Brazil,X,Export,HKG,Hong Kong,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",75000.0,237601
2017,1,201701,BRA,Brazil,X,Export,HKG,Hong Kong,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",1000.0,10285
2017,1,201701,BRA,Brazil,X,Export,HRV,Croatia,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",764000.0,1992848
2017,1,201701,BRA,Brazil,X,Export,CYP,Cyprus,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",115000.0,306048
2017,1,201701,BRA,Brazil,X,Export,CZE,Czechia,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",21000.0,101346
2017,1,201701,BRA,Brazil,X,Export,DNK,Denmark,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",124000.0,368638
2017,1,201701,BRA,Brazil,X,Export,DNK,Denmark,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",60.0,959
2017,1,201701,BRA,Brazil,X,Export,DOM,Dominican Republic,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",384000.0,1052635
2017,1,201701,BRA,Brazil,X,Export,EGY,Egypt,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",133000.0,377311
2017,1,201701,BRA,Brazil,X,Export,FIN,Finland,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",2460000.0,7543330
2017,1,201701,BRA,Brazil,M,Import,FRA,France,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",11955.0,218779
2017,1,201701,BRA,Brazil,X,Export,FRA,France,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",4272000.0,11706618
2017,1,201701,BRA,Brazil,X,Export,DEU,Germany,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",33412000.0,96665366
2017,1,201701,BRA,Brazil,X,Export,GRC,Greece,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",1345000.0,3455156
2017,1,201701,BRA,Brazil,X,Export,ISL,Iceland,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",38000.0,137475
2017,1,201701,BRA,Brazil,X,Export,IDN,Indonesia,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",268000.0,859290
2017,1,201701,BRA,Brazil,X,Export,IRL,Ireland,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",133000.0,453506
2017,1,201701,BRA,Brazil,X,Export,ISR,Israel,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",461000.0,1375600
2017,1,201701,BRA,Brazil,M,Import,ITA,Italy,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",106660.0,1003171
2017,1,201701,BRA,Brazil,M,Import,ITA,Italy,90122,"Coffee; roasted, decaffeinated","Coffee, Roasted Decaf",11354.0,107843
2017,1,201701,BRA,Brazil,X,Export,ITA,Italy,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",15427000.0,45621321
2017,1,201701,BRA,Brazil,X,Export,ITA,Italy,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",44800.0,180980
2017,1,201701,BRA,Brazil,X,Export,JPN,Japan,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",10605000.0,33741204
2017,1,201701,BRA,Brazil,X,Export,JPN,Japan,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",11578.0,69109
2017,1,201701,BRA,Brazil,X,Export,JOR,Jordan,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",364000.0,954383
2017,1,201701,BRA,Brazil,X,Export,KWT,Kuwait,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",38000.0,109824
2017,1,201701,BRA,Brazil,X,Export,LVA,Latvia,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",40000.0,96556
2017,1,201701,BRA,Brazil,X,Export,LBN,Lebanon,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",2452000.0,6491934
2017,1,201701,BRA,Brazil,X,Export,LBY,Libya,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",134000.0,418096
2017,1,201701,BRA,Brazil,X,Export,LTU,Lithuania,90121,"Coffee; roasted, not decaffeinated","Coffee, Roasted",63.0,630
2017,1,201701,BRA,Brazil,X,Export,MYS,Malaysia,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",589000.0,1589300
2017,1,201701,BRA,Brazil,X,Export,MEX,Mexico,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",350000.0,980950
2017,1,201701,BRA,Brazil,X,Export,MNE,Montenegro,90111,Coffee; not roasted or decaffeinated,"Coffee, Green",550000.0,1437031
