"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","96629591.23","true","-1","N/A","0","false","96629591.23","true","0","false","266010576.088","0","266010576.088","6","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","36","AUS","Australia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7","false","8","kg","7","false","7","false","0","false","13.798","0","13.798","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","56","BEL","Belgium","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","525208","false","8","kg","525208","false","525208","false","0","false","1561459.505","0","1561459.505","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39200","false","8","kg","39200","false","39200","false","0","false","253256.408","0","253256.408","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41299852","false","8","kg","41299852","false","41299852","false","0","false","115844335.621","0","115844335.621","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","108","BDI","Burundi","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","144636","false","8","kg","144636","false","144636","false","0","false","565165.781","0","565165.781","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","120","CMR","Cameroon","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","139684","false","8","kg","139684","false","139684","false","0","false","281416.412","0","281416.412","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","156","CHN","China","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","509426","false","8","kg","509426","false","509426","false","0","false","1527569.003","0","1527569.003","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","170","COL","Colombia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7331036.386","true","-1","N/A","0","false","7331036.386","true","0","false","23792894.328","0","23792894.328","6","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","178","COG","Congo","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19109","false","8","kg","19109","false","19109","false","0","false","62824.266","0","62824.266","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","93849","false","8","kg","93849","false","93849","false","0","false","326998.235","0","326998.235","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","188","CRI","Costa Rica","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","283166","false","8","kg","283166","false","283166","false","0","false","1133025.395","0","1133025.395","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","218","ECU","Ecuador","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","57626","false","8","kg","57626","false","57626","false","0","false","405277.546","0","405277.546","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","222","SLV","El Salvador","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31465.771","true","-1","N/A","0","false","31465.771","true","0","false","134461.336","0","134461.336","6","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","231","ETH","Ethiopia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","977631.386","true","-1","N/A","0","false","977631.386","true","0","false","3438187.713","0","3438187.713","6","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","251","FRA","France","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","152256","false","8","kg","152256","false","152256","false","0","false","440004.431","0","440004.431","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","300","GRC","Greece","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11993","false","8","kg","11993","false","11993","false","0","false","32930.996","0","32930.996","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","320","GTM","Guatemala","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","267598","false","8","kg","267598","false","267598","false","0","false","838731.017","0","838731.017","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","324","GIN","Guinea","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","64580.386","true","-1","N/A","0","false","64580.386","true","0","false","192183.452","0","192183.452","6","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","340","HND","Honduras","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8967383","false","8","kg","8967383","false","8967383","false","0","false","22512280.202","0","22512280.202","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3905985","false","8","kg","3905985","false","3905985","false","0","false","8159608.026","0","8159608.026","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","380","ITA","Italy","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","184178","false","8","kg","184178","false","184178","false","0","false","499892.865","0","499892.865","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","404","KEN","Kenya","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","835116","false","8","kg","835116","false","835116","false","0","false","2975624.286","0","2975624.286","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","418","LAO","Lao People's Dem. Rep.","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.386","true","-1","N/A","0","false","0.386","true","0","false","1.061","0","1.061","6","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","454","MWI","Malawi","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19200","false","8","kg","19200","false","19200","false","0","false","111142.378","0","111142.378","0","false","true",
"C","M","20170101","2017","1","201701","276","DEU","Germany","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37969","false","8","kg","37969","false","37969","false","0","false","291708.808","0","291708.808","0","false","true",
