"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","0","W00","World","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54891895","false","8","kg","54891895","false","54891895","false","0","false","184037313.571",,"184037313.571","0","false","true",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","40","AUT","Austria","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","36577","false","8","kg","36577","false","36577","false","0","false","176137.58",,"176137.58","0","true","false",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","230929","false","8","kg","230929","false","230929","false","0","false","1023987.937",,"1023987.937","0","true","false",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25459800","false","8","kg","25459800","false","25459800","false","0","false","82693059.686",,"82693059.686","0","true","false",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","120","CMR","Cameroon","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","263305","false","8","kg","263305","false","263305","false","0","false","793037.869",,"793037.869","0","true","false",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1162620","false","8","kg","1162620","false","1162620","false","0","false","5618545.415",,"5618545.415","0","true","false",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","178","COG","Congo","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","128222","false","8","kg","128222","false","128222","false","0","false","401086.551",,"401086.551","0","true","false",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","92291","false","8","kg","92291","false","92291","false","0","false","315775.67",,"315775.67","0","true","false",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","188","CRI","Costa Rica","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","65734","false","8","kg","65734","false","65734","false","0","false","380382.059",,"380382.059","0","true","false",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","214","DOM","Dominican Rep.","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10766","false","8","kg","10766","false","10766","false","0","false","59162.545",,"59162.545","0","true","false",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","222","SLV","El Salvador","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","104382","false","8","kg","104382","false","104382","false","0","false","463482.469",,"463482.469","0","true","false",
"C","M","20240101","2024","1","202401","380","ITA","Italy","M","Import","231","ETH","Ethiopia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","371339","false","8","kg","371339","false","371339","false","0","false","1827946.209",,"1827946.209","0","true","false",
