"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20200101","2020","1","202001","528","NLD","Netherlands","M","Import","0","W00","World","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15566100","false","8","kg","15566100","false","15566100","false","0","false","38657404.423","0","38657404.423","0","false","true",
"C","M","20200101","2020","1","202001","528","NLD","Netherlands","M","Import","31","AZE","Azerbaijan","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","8","kg","3","false","3","false","0","false","53.282","0","53.282","0","true","false",
"C","M","20200101","2020","1","202001","528","NLD","Netherlands","M","Import","36","AUS","Australia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13","false","8","kg","13","false","13","false","0","false","254.198","0","254.198","0","true","false",
"C","M","20200101","2020","1","202001","528","NLD","Netherlands","M","Import","40","AUT","Austria","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4004","false","8","kg","4004","false","4004","false","0","false","10953.835","0","10953.835","0","true","false",
"C","M","20200101","2020","1","202001","528","NLD","Netherlands","M","Import","56","BEL","Belgium","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9572450","false","8","kg","9572450","false","9572450","false","0","false","21491030.694","0","21491030.694","0","true","false",
"C","M","20200101","2020","1","202001","528","NLD","Netherlands","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1879270","false","8","kg","1879270","false","1879270","false","0","false","4605613.736","0","4605613.736","0","true","false",
"C","M","20200101","2020","1","202001","528","NLD","Netherlands","M","Import","100","BGR","Bulgaria","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","542","false","8","kg","542","false","542","false","0","false","1484.118","0","1484.118","0","true","false",
"C","M","20200101","2020","1","202001","528","NLD","Netherlands","M","Import","156","CHN","China","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43200","false","8","kg","43200","false","43200","false","0","false","110899.257","0","110899.257","0","true","false",
"C","M","20200101","2020","1","202001","528","NLD","Netherlands","M","Import","170","COL","Colombia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","636568","false","8","kg","636568","false","636568","false","0","false","2642922.454","0","2642922.454","0","true","false",
"C","M","20200101","2020","1","202001","528","NLD","Netherlands","M","Import","188","CRI","Costa Rica","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","250","false","8","kg","250","false","250","false","0","false","583.879","0","583.879","0","true","false",
