"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","0","W00","World","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9018992","false","8","kg","9018992","false","9018992","false","0","false","21753899","0","21753899","0","false","true",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","56","BEL","Belgium","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21936","false","8","kg","21936","false","21936","false","0","false","72699","0","72699","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1593710","false","8","kg","1593710","false","1593710","false","0","false","4694825","0","4694825","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","108","BDI","Burundi","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","76920","false","8","kg","76920","false","76920","false","0","false","258586","0","258586","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","120","CMR","Cameroon","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6024","false","8","kg","6024","false","6024","false","0","false","13168","0","13168","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","156","CHN","China","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44800","false","8","kg","44800","false","44800","false","0","false","137999","0","137999","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","170","COL","Colombia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","87910","false","8","kg","87910","false","87910","false","0","false","322945","0","322945","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","178","COG","Congo","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","93849","false","8","kg","93849","false","93849","false","0","false","313666","0","313666","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","188","CRI","Costa Rica","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2066","false","8","kg","2066","false","2066","false","0","false","10263","0","10263","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","192","CUB","Cuba","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","600","false","8","kg","600","false","600","false","0","false","3083","0","3083","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","203","CZE","Czechia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23932","false","8","kg","23932","false","23932","false","0","false","288257","0","288257","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","208","DNK","Denmark","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12","false","8","kg","12","false","12","false","0","false","135","0","135","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","222","SLV","El Salvador","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","621","false","8","kg","621","false","621","false","0","false","2209","0","2209","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","231","ETH","Ethiopia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12503","false","8","kg","12503","false","12503","false","0","false","50652","0","50652","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","251","FRA","France","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000","false","8","kg","1000","false","1000","false","0","false","3400","0","3400","0","true","false",
"C","M","20170101","2017","1","201701","616","POL","Poland","M","Import","262","DJI","Djibouti","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","47641","false","8","kg","47641","false","47641","false","0","false","157823","0","157823","0","true","false",
