"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20230601","2023","6","202306","634","QAT","Qatar","M","Import","0","W00","World","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31400.328","true","-1","N/A","0","false","31400.328","true","0","false","151016.251",,"151016.251","6","false","true",
"C","M","20231201","2023","12","202312","634","QAT","Qatar","M","Import","40","AUT","Austria","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2833.863","true","-1","N/A","0","false","2833.863","true","0","false","30383.456",,"30383.456","6","true","false",
"C","M","20230501","2023","5","202305","634","QAT","Qatar","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37334.552","true","-1","N/A","0","false","37334.552","true","0","false","179556.215",,"179556.215","6","true","false",
"C","M","20231001","2023","10","202310","634","QAT","Qatar","M","Import","124","CAN","Canada","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3591.147","true","-1","N/A","0","false","3591.147","true","0","false","38502.737",,"38502.737","6","true","false",
"C","M","20231201","2023","12","202312","634","QAT","Qatar","M","Import","156","CHN","China","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3628.558","true","-1","N/A","0","false","3628.558","true","0","false","17451.132",,"17451.132","6","true","false",
"C","M","20230501","2023","5","202305","634","QAT","Qatar","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3038.272","true","-1","N/A","0","false","3038.272","true","0","false","14612.217",,"14612.217","6","true","false",
"C","M","20231201","2023","12","202312","634","QAT","Qatar","M","Import","188","CRI","Costa Rica","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3698.382","true","-1","N/A","0","false","3698.382","true","0","false","17786.943",,"17786.943","6","true","false",
"C","M","20231101","2023","11","202311","634","QAT","Qatar","M","Import","208","DNK","Denmark","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2417.188","true","-1","N/A","0","false","2417.188","true","0","false","25916.052",,"25916.052","6","true","false",
"C","M","20231201","2023","12","202312","634","QAT","Qatar","M","Import","222","SLV","El Salvador","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9662.286","true","-1","N/A","0","false","9662.286","true","0","false","46469.649",,"46469.649","6","true","false",
"C","M","20231101","2023","11","202311","634","QAT","Qatar","M","Import","231","ETH","Ethiopia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","99571.597","true","-1","N/A","0","false","99571.597","true","0","false","478878.097",,"478878.097","6","true","false",
