"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","0","W00","World","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","980307.84","true","8","kg","980306.5","false","980307.84","true","0","false","4483504.42","4302787.35","4483504.42","6","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","40","AUT","Austria","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","0","false","219.52","210.67","219.52","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","350657","false","8","kg","350657","false","350657","false","0","false","1733373.6","1663506.35","1733373.6","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","101600","false","8","kg","101600","false","101600","false","0","false","428299.94","411036.41","428299.94","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","100","BGR","Bulgaria","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7360","false","8","kg","7360","false","7360","false","0","false","48940.69","46968.04","48940.69","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","79980","false","8","kg","79980","false","79980","false","0","false","469493.73","450569.79","469493.73","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","188","CRI","Costa Rica","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9315","false","8","kg","9315","false","9315","false","0","false","63540.48","60979.35","63540.48","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","231","ETH","Ethiopia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4200","false","8","kg","4200","false","4200","false","0","false","44957.53","43145.42","44957.53","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","251","FRA","France","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.431","true","8","kg","0","false","0.431","true","0","false","1.97","1.89","1.97","6","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","167664.861","true","8","kg","167664","false","167664.861","true","0","false","733449.12","703885.91","733449.12","6","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","320","GTM","Guatemala","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5520","false","8","kg","5520","false","5520","false","0","false","26161.38","25106.89","26161.38","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","348","HUN","Hungary","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","562","false","8","kg","562","false","562","false","0","false","3366.82","3231.11","3366.82","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","34000","false","8","kg","34000","false","34000","false","0","false","81448.03","78165.1","81448.03","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25819","false","8","kg","25819","false","25819","false","0","false","107492.22","103159.51","107492.22","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","404","KEN","Kenya","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29400","false","8","kg","29400","false","29400","false","0","false","242270.67","232505.44","242270.67","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","440","LTU","Lithuania","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1431","false","8","kg","1431","false","1431","false","0","false","10181.44","9771.06","10181.44","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14724","false","8","kg","14724","false","14724","false","0","false","84405.12","81002.99","84405.12","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","591","PAN","Panama","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","120","false","8","kg","120","false","120","false","0","false","4764.28","4572.25","4764.28","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","616","POL","Poland","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","999","false","8","kg","999","false","999","false","0","false","5132.85","4925.96","5132.85","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","699","IND","India","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100680","false","8","kg","100680","false","100680","false","0","false","257775.72","247385.53","257775.72","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","703","SVK","Slovakia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.048","true","8","kg","0","false","0.048","true","0","false","0.22","0.21","0.22","6","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20000","false","8","kg","20000","false","20000","false","0","false","45184.88","43363.61","45184.88","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5869","false","8","kg","5869","false","5869","false","0","false","42574.31","40858.26","42574.31","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.5","false","8","kg","0.5","false","0.5","false","0","false","10.59","10.16","10.59","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","800","UGA","Uganda","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20400","false","8","kg","20400","false","20400","false","0","false","50459.31","48425.44","50459.31","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","0","W00","World","0","W00","World","H6","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2055","false","8","kg","2055","false","2055","false","0","false","18041.37","17314.19","18041.37","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","40","AUT","Austria","0","W00","World","H6","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","308","false","8","kg","308","false","308","false","0","false","3367.04","3231.33","3367.04","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","619","false","8","kg","619","false","619","false","0","false","4886.19","4689.25","4886.19","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","348","HUN","Hungary","0","W00","World","H6","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","50.12","48.1","50.12","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","421","false","8","kg","421","false","421","false","0","false","2828.41","2714.41","2828.41","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","55","false","8","kg","55","false","55","false","0","false","374.7","359.6","374.7","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","616","POL","Poland","0","W00","World","H6","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","301","false","8","kg","301","false","301","false","0","false","2482.6","2382.53","2482.6","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","350","false","8","kg","350","false","350","false","0","false","4052.31","3888.97","4052.31","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","0","W00","World","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3362682.49","false","8","kg","3362682.49","false","3362682.49","false","0","false","25261704.07","24243478.05","25261704.07","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","40","AUT","Austria","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30762","false","8","kg","30762","false","30762","false","0","false","273429.85","262408.69","273429.85","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12356","false","8","kg","12356","false","12356","false","0","false","105163.72","100924.87","105163.72","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","100","BGR","Bulgaria","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","804483","false","8","kg","804483","false","804483","false","0","false","5136369.02","4929336.87","5136369.02","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","124","CAN","Canada","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1022.83","false","8","kg","1022.83","false","1022.83","false","0","false","21133.75","20281.91","21133.75","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45.15","false","8","kg","45.15","false","45.15","false","0","false","1112.78","1067.93","1112.78","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","191","HRV","Croatia","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1200","false","8","kg","1200","false","1200","false","0","false","1460.28","1401.42","1460.28","0","false","true",
"C","M","20230101","2023","1","202301","642","ROU","Romania","M","Import","203","CZE","Czechia","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4678","false","8","kg","4678","false","4678","false","0","false","249783.54","239715.49","249783.54","0","false","true",
