"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","0","W00","World","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17159505.31","true","-1","N/A","0","false","17159505.31","true","0","false","93844413.917",,"93844413.917","6","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","40","AUT","Austria","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","62.763",,"62.763","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2622","false","8","kg","2622","false","2622","false","0","false","21488.784",,"21488.784","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5695600","false","8","kg","5695600","false","5695600","false","0","false","29476406.266",,"29476406.266","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","144","LKA","Sri Lanka","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7","false","8","kg","7","false","7","false","0","false","54.106",,"54.106","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","156","CHN","China","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","112044","false","8","kg","112044","false","112044","false","0","false","473101.683",,"473101.683","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2443724","false","8","kg","2443724","false","2443724","false","0","false","16501046.288",,"16501046.288","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","178","COG","Congo","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19138","false","8","kg","19138","false","19138","false","0","false","191829.976",,"191829.976","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","119","false","8","kg","119","false","119","false","0","false","367.922",,"367.922","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","188","CRI","Costa Rica","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1290537","false","8","kg","1290537","false","1290537","false","0","false","7806287.071",,"7806287.071","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","192","CUB","Cuba","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1800","false","8","kg","1800","false","1800","false","0","false","13919.339",,"13919.339","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","203","CZE","Czechia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2.968","true","-1","N/A","0","false","2.968","true","0","false","16.232",,"16.232","6","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","218","ECU","Ecuador","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","250","false","8","kg","250","false","250","false","0","false","4718.053",,"4718.053","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","222","SLV","El Salvador","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37804","false","8","kg","37804","false","37804","false","0","false","232086.005",,"232086.005","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","231","ETH","Ethiopia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","777839","false","8","kg","777839","false","777839","false","0","false","5144167.863",,"5144167.863","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","251","FRA","France","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","328","false","8","kg","328","false","328","false","0","false","7760.981",,"7760.981","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6428","false","8","kg","6428","false","6428","false","0","false","58865.286",,"58865.286","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","320","GTM","Guatemala","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","638804","false","8","kg","638804","false","638804","false","0","false","4013709.377",,"4013709.377","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","324","GIN","Guinea","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1080","false","8","kg","1080","false","1080","false","0","false","7916.806",,"7916.806","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","340","HND","Honduras","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","319914","false","8","kg","319914","false","319914","false","0","false","1837849.376",,"1837849.376","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","585370","false","8","kg","585370","false","585370","false","0","false","2729548.41",,"2729548.41","0","false","true",
"C","M","20230101","2023","1","202301","757","CHE","Switzerland","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2917","false","8","kg","2917","false","2917","false","0","false","24342.34",,"24342.34","0","false","true",
