"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","102634608.349","true","-1","N/A","0","false","102634608.349","true","0","false","537009922","519298553","537009922","6","false","true",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","24","AGO","Angola","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5943.906","true","-1","N/A","0","false","5943.906","true","0","false","31100","29100","31100","6","true","false",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","67164.414","true","-1","N/A","0","false","67164.414","true","0","false","351421","343421","351421","6","true","false",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46463.568","true","-1","N/A","0","false","46463.568","true","0","false","243109","238924","243109","6","true","false",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25450905.799","true","-1","N/A","0","false","25450905.799","true","0","false","133165500","128929307","133165500","6","true","false",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","108","BDI","Burundi","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","49797.889","true","-1","N/A","0","false","49797.889","true","0","false","260555","257555","260555","6","true","false",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22952.459","true","-1","N/A","0","false","22952.459","true","0","false","120093","118480","120093","6","true","false",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","152","CHL","Chile","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19545.894","true","-1","N/A","0","false","19545.894","true","0","false","102269","96977","102269","6","true","false",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32974460.016","true","-1","N/A","0","false","32974460.016","true","0","false","172530616","168121123","172530616","6","true","false",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","145965.122","true","-1","N/A","0","false","145965.122","true","0","false","763726","749352","763726","6","true","false",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","188","CRI","Costa Rica","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1820382.079","true","-1","N/A","0","false","1820382.079","true","0","false","9524694","9417815","9524694","6","true","false",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","218","ECU","Ecuador","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54468.346","true","-1","N/A","0","false","54468.346","true","0","false","284992","278815","284992","6","true","false",
"C","M","20220101","2022","1","202201","842","USA","USA","M","Import","222","SLV","El Salvador","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","253819.68","true","-1","N/A","0","false","253819.68","true","0","false","1328048","1305728","1328048","6","true","false",
