"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20210101","2021","1","202101","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11695455","false","8","kg","11695455","false","11695455","false","0","false","19199172.6","0","19199172.6","0","false","true",
"C","M","20210101","2021","1","202101","170","COL","Colombia","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8859430","false","8","kg","8859430","false","8859430","false","0","false","14438855.72","0","14438855.72","0","false","true",
"C","M","20210101","2021","1","202101","170","COL","Colombia","M","Import","218","ECU","Ecuador","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","68000","false","8","kg","68000","false","68000","false","0","false","128137.16","0","128137.16","0","false","true",
"C","M","20210101","2021","1","202101","170","COL","Colombia","M","Import","340","HND","Honduras","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","390195","false","8","kg","390195","false","390195","false","0","false","506852.3","0","506852.3","0","false","true",
"C","M","20210101","2021","1","202101","170","COL","Colombia","M","Import","604","PER","Peru","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2377830","false","8","kg","2377830","false","2377830","false","0","false","4125327.42","0","4125327.42","0","false","true",
"C","M","20210101","2021","1","202101","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66000","false","8","kg","66000","false","66000","false","0","false","235295.25","0","235295.25","0","false","true",
"C","M","20210101","2021","1","202101","170","COL","Colombia","M","Import","724","ESP","Spain","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66000","false","8","kg","66000","false","66000","false","0","false","235295.25","0","235295.25","0","false","true",
"C","M","20210101","2021","1","202101","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13951.3","false","8","kg","13951.3","false","13951.3","false","0","false","168047.89","0","168047.89","0","false","true",
"C","M","20210101","2021","1","202101","170","COL","Colombia","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6286.99","false","8","kg","6286.99","false","6286.99","false","0","false","54628.87","0","54628.87","0","false","true",
"C","M","20210101","2021","1","202101","170","COL","Colombia","M","Import","276","DEU","Germany","0","W00","World","H5","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","693.89","false","8","kg","693.89","false","693.89","false","0","false","10286.28","0","10286.28","0","false","true",
"C","M","20210101","2021","1","202101","170","COL","Colombia","M","Import","380","ITA","Italy","0","W00","World","H5","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","315.1","false","8","kg","315.1","false","315.1","false","0","false","5206.36","0","5206.36","0","false","true",
