"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20210101","2021","1","202101","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3006115.165","true","-1","N/A","0","false","3006115.165","true","0","false","10617782.8","0","10617782.8","6","false","true",
"C","M","20210101","2021","1","202101","704","VNM","Viet Nam","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29024.412","true","-1","N/A","0","false","29024.412","true","0","false","102516","0","102516","6","true","false",
"C","M","20210101","2021","1","202101","704","VNM","Viet Nam","M","Import","170","COL","Colombia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","852.194","true","-1","N/A","0","false","852.194","true","0","false","3010","0","3010","6","true","false",
"C","M","20210101","2021","1","202101","704","VNM","Viet Nam","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","81877.403","true","-1","N/A","0","false","81877.403","true","0","false","289196","0","289196","6","true","false",
"C","M","20210101","2021","1","202101","704","VNM","Viet Nam","M","Import","404","KEN","Kenya","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","582.663","true","-1","N/A","0","false","582.663","true","0","false","2058","0","2058","6","true","false",
"C","M","20210101","2021","1","202101","704","VNM","Viet Nam","M","Import","418","LAO","Lao People's Dem. Rep.","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2893778.494","true","-1","N/A","0","false","2893778.494","true","0","false","10221002.8","0","10221002.8","6","true","false",
"C","M","20210101","2021","1","202101","704","VNM","Viet Nam","M","Import","0","W00","World","0","W00","World","H5","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","36773.172","true","-1","N/A","0","false","36773.172","true","0","false","315574.345","0","315574.345","6","false","true",
"C","M","20210101","2021","1","202101","704","VNM","Viet Nam","M","Import","36","AUS","Australia","0","W00","World","H5","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","132.646","true","-1","N/A","0","false","132.646","true","0","false","1138.32","0","1138.32","6","true","false",
"C","M","20210101","2021","1","202101","704","VNM","Viet Nam","M","Import","276","DEU","Germany","0","W00","World","H5","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","370.313","true","-1","N/A","0","false","370.313","true","0","false","3177.896","0","3177.896","6","true","false",
"C","M","20210101","2021","1","202101","704","VNM","Viet Nam","M","Import","380","ITA","Italy","0","W00","World","H5","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7297.12","true","-1","N/A","0","false","7297.12","true","0","false","62621.3","0","62621.3","6","true","false",
