"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","0","W00","World","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38260430","false","8","kg","38260430","false","38260430","false","0","false","116371859.364","0","116371859.364","0","false","true",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","40","AUT","Austria","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","363993","false","8","kg","363993","false","363993","false","0","false","1560024.617","0","1560024.617","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","56","BEL","Belgium","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7025","false","8","kg","7025","false","7025","false","0","false","20904.656","0","20904.656","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10879200","false","8","kg","10879200","false","10879200","false","0","false","38268157.423","0","38268157.423","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","108","BDI","Burundi","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25118","false","8","kg","25118","false","25118","false","0","false","109655.556","0","109655.556","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","120","CMR","Cameroon","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","474169","false","8","kg","474169","false","474169","false","0","false","1168531.762","0","1168531.762","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","156","CHN","China","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6000","false","8","kg","6000","false","6000","false","0","false","24150.585","0","24150.585","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","170","COL","Colombia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1994260","false","8","kg","1994260","false","1994260","false","0","false","8729443.828","0","8729443.828","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","178","COG","Congo","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","184556","false","8","kg","184556","false","184556","false","0","false","532940.706","0","532940.706","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38620","false","8","kg","38620","false","38620","false","0","false","99027.64","0","99027.64","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","188","CRI","Costa Rica","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","126568","false","8","kg","126568","false","126568","false","0","false","642686.494","0","642686.494","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","192","CUB","Cuba","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","602","false","8","kg","602","false","602","false","0","false","3654.413","0","3654.413","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","214","DOM","Dominican Rep.","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17886","false","8","kg","17886","false","17886","false","0","false","118009.37","0","118009.37","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","222","SLV","El Salvador","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80945","false","8","kg","80945","false","80945","false","0","false","382461.078","0","382461.078","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","231","ETH","Ethiopia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","405748","false","8","kg","405748","false","405748","false","0","false","2042335.181","0","2042335.181","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","251","FRA","France","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","162060","false","8","kg","162060","false","162060","false","0","false","517919.447","0","517919.447","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","262","DJI","Djibouti","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","93375","false","8","kg","93375","false","93375","false","0","false","472297.205","0","472297.205","0","true","false",
"C","M","20170101","2017","1","201701","380","ITA","Italy","M","Import","276","DEU","Germany","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","479027","false","8","kg","479027","false","479027","false","0","false","1297308.054","0","1297308.054","0","true","false",
