"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22430405","false","8","kg","22430405","false","22430405","false","0","false","89947206.486",,"89947206.486","0","false","true",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","36","AUS","Australia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4500","false","8","kg","4500","false","4500","false","0","false","35183.7",,"35183.7","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8003970","false","8","kg","8003970","false","8003970","false","0","false","34629591.524",,"34629591.524","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","108","BDI","Burundi","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","72398","false","8","kg","72398","false","72398","false","0","false","481355.369",,"481355.369","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2209970","false","8","kg","2209970","false","2209970","false","0","false","14361110.314",,"14361110.314","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","214","DOM","Dominican Rep.","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1811","false","8","kg","1811","false","1811","false","0","false","13794.22",,"13794.22","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","218","ECU","Ecuador","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","35048","false","8","kg","35048","false","35048","false","0","false","325391.688",,"325391.688","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","231","ETH","Ethiopia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","316808","false","8","kg","316808","false","316808","false","0","false","2630077.496",,"2630077.496","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","320","GTM","Guatemala","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","307107","false","8","kg","307107","false","307107","false","0","false","1935932.089",,"1935932.089","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","340","HND","Honduras","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","158232","false","8","kg","158232","false","158232","false","0","false","1193092.626",,"1193092.626","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1304300","false","8","kg","1304300","false","1304300","false","0","false","4191778.073",,"4191778.073","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1199","false","8","kg","1199","false","1199","false","0","false","8983.889",,"8983.889","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","388","JAM","Jamaica","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5804","false","8","kg","5804","false","5804","false","0","false","226446.162",,"226446.162","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","404","KEN","Kenya","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","299","false","8","kg","299","false","299","false","0","false","4365.357",,"4365.357","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","418","LAO","Lao People's Dem. Rep.","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","348513","false","8","kg","348513","false","348513","false","0","false","1612941.731",,"1612941.731","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","484","MEX","Mexico","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4243","false","8","kg","4243","false","4243","false","0","false","143849.625",,"143849.625","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","524","NPL","Nepal","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","540","false","8","kg","540","false","540","false","0","false","12597.391",,"12597.391","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","591","PAN","Panama","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10","false","8","kg","10","false","10","false","0","false","2531.753",,"2531.753","0","true","false",
"C","M","20230101","2023","1","202301","392","JPN","Japan","M","Import","598","PNG","Papua New Guinea","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","180048","false","8","kg","180048","false","180048","false","0","false","1256570.588",,"1256570.588","0","true","false",
