"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","0","W00","World","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10270011.705","true","-1","N/A","0","false","10270011.705","true","0","false","36137537",,"36137537","6","false","true",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45380","false","8","kg","45380","false","45380","false","0","false","189007",,"189007","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3018470","false","8","kg","3018470","false","3018470","false","0","false","10007821",,"10007821","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","144","LKA","Sri Lanka","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","408","false","8","kg","408","false","408","false","0","false","7330",,"7330","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","105935","false","8","kg","105935","false","105935","false","0","false","476786",,"476786","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","64800","false","8","kg","64800","false","64800","false","0","false","234787",,"234787","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","231","ETH","Ethiopia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","93472","false","8","kg","93472","false","93472","false","0","false","522550",,"522550","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","251","FRA","France","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8730","false","8","kg","8730","false","8730","false","0","false","56616",,"56616","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2952990","false","8","kg","2952990","false","2952990","false","0","false","12212004",,"12212004","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","300","GRC","Greece","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12","false","8","kg","12","false","12","false","0","false","197",,"197","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","320","GTM","Guatemala","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6136","false","8","kg","6136","false","6136","false","0","false","38657",,"38657","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","340","HND","Honduras","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","206858","false","8","kg","206858","false","206858","false","0","false","930004",,"930004","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","348","HUN","Hungary","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","960","false","8","kg","960","false","960","false","0","false","9741",,"9741","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","55217","false","8","kg","55217","false","55217","false","0","false","180152",,"180152","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1337","false","8","kg","1337","false","1337","false","0","false","17518",,"17518","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","404","KEN","Kenya","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41560","false","8","kg","41560","false","41560","false","0","false","196770",,"196770","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","418","LAO","Lao People's Dem. Rep.","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20000","false","8","kg","20000","false","20000","false","0","false","56360",,"56360","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","484","MEX","Mexico","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10000","false","8","kg","10000","false","10000","false","0","false","37541",,"37541","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44576","false","8","kg","44576","false","44576","false","0","false","291209",,"291209","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","558","NIC","Nicaragua","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10323","false","8","kg","10323","false","10323","false","0","false","55654",,"55654","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","598","PNG","Papua New Guinea","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","240","false","8","kg","240","false","240","false","0","false","1438",,"1438","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","604","PER","Peru","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","95136","false","8","kg","95136","false","95136","false","0","false","416383",,"416383","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","646","RWA","Rwanda","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5994","false","8","kg","5994","false","5994","false","0","false","45979",,"45979","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","699","IND","India","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","133081","false","8","kg","133081","false","133081","false","0","false","471203",,"471203","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2466670","false","8","kg","2466670","false","2466670","false","0","false","6828154",,"6828154","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1.705","true","-1","N/A","0","false","1.705","true","0","false","6",,"6","6","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","800","UGA","Uganda","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","675551","false","8","kg","675551","false","675551","false","0","false","2177920",,"2177920","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","834","TZA","United Rep. of Tanzania","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","206174","false","8","kg","206174","false","206174","false","0","false","675750",,"675750","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","0","W00","World","0","W00","World","H6","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","33776","false","8","kg","33776","false","33776","false","0","false","116852",,"116852","0","false","true",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","251","FRA","France","0","W00","World","H6","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11760","false","8","kg","11760","false","11760","false","0","false","13547",,"13547","0","true","false",
"C","M","20240101","2024","1","202401","616","POL","Poland","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18955","false","8","kg","18955","false","18955","false","0","false","89301",,"89301","0","true","false",
