"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20180501","2018","5","201805","634","QAT","Qatar","M","Import","0","W00","World","0","W00","World","H4","HS","true","090122","Coffee; roasted, decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4913.65","false","8","kg","4913.65","false","4913.65","false","0","false","108576.934","0","108576.934","0","false","true",
"C","M","20181001","2018","10","201810","634","QAT","Qatar","M","Import","40","AUT","Austria","0","W00","World","H4","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1414","false","8","kg","1414","false","1414","false","0","false","34117.651","0","34117.651","0","true","false",
"C","M","20181201","2018","12","201812","634","QAT","Qatar","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11364","false","8","kg","11364","false","11364","false","0","false","32441.404","0","32441.404","0","true","false",
"C","M","20181101","2018","11","201811","634","QAT","Qatar","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6418.18","false","8","kg","6418.18","false","6418.18","false","0","false","30824.481","0","30824.481","0","true","false",
"C","M","20180301","2018","3","201803","634","QAT","Qatar","M","Import","156","CHN","China","0","W00","World","H4","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19506","false","8","kg","19506","false","19506","false","0","false","26772.766","0","26772.766","0","true","false",
"C","M","20180701","2018","7","201807","634","QAT","Qatar","M","Import","170","COL","Colombia","0","W00","World","H4","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3500","false","8","kg","3500","false","3500","false","0","false","14572.024","0","14572.024","0","true","false",
"C","M","20180101","2018","1","201801","634","QAT","Qatar","M","Import","188","CRI","Costa Rica","0","W00","World","H4","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1154","false","8","kg","1154","false","1154","false","0","false","17162.277","0","17162.277","0","true","false",
"C","M","20180801","2018","8","201808","634","QAT","Qatar","M","Import","208","DNK","Denmark","0","W00","World","H4","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","538","false","8","kg","538","false","538","false","0","false","24929.072","0","24929.072","0","true","false",
"C","M","20180401","2018","4","201804","634","QAT","Qatar","M","Import","231","ETH","Ethiopia","0","W00","World","H4","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41018.5","false","8","kg","41018.5","false","41018.5","false","0","false","123211.573","0","123211.573","0","true","false",
"C","M","20180801","2018","8","201808","634","QAT","Qatar","M","Import","251","FRA","France","0","W00","World","H4","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1060","false","8","kg","1060","false","1060","false","0","false","20851.568","0","20851.568","0","true","false",
