"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","0","W00","World","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2124485.98","false","8","kg","2124485.98","false","2124485.98","false","0","false",,"6771575.823","6771575.823","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","36","AUS","Australia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.23","false","8","kg","0.23","false","0.23","false","0","false",,"6.811","6.811","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","72","BWA","Botswana","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.5","false","8","kg","0.5","false","0.5","false","0","false",,"38.74","38.74","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1033810","false","8","kg","1033810","false","1033810","false","0","false",,"2834670.903","2834670.903","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","59835","false","8","kg","59835","false","59835","false","0","false",,"261421.221","261421.221","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","222","SLV","El Salvador","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19665","false","8","kg","19665","false","19665","false","0","false",,"93339.122","93339.122","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","231","ETH","Ethiopia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","76800.65","false","8","kg","76800.65","false","76800.65","false","0","false",,"459478.087","459478.087","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","251","FRA","France","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","301.2","false","8","kg","301.2","false","301.2","false","0","false",,"5166.639","5166.639","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","288","GHA","Ghana","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.2","false","8","kg","0.2","false","0.2","false","0","false",,"9.845","9.845","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","320","GTM","Guatemala","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18975","false","8","kg","18975","false","18975","false","0","false",,"105208.221","105208.221","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","340","HND","Honduras","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19665","false","8","kg","19665","false","19665","false","0","false",,"82280.212","82280.212","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19200","false","8","kg","19200","false","19200","false","0","false",,"138212.111","138212.111","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","454","MWI","Malawi","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19048","false","8","kg","19048","false","19048","false","0","false",,"101812.664","101812.664","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","516","NAM","Namibia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40","false","8","kg","40","false","40","false","0","false",,"212.858","212.858","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","604","PER","Peru","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18975","false","8","kg","18975","false","18975","false","0","false",,"54731.862","54731.862","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","646","RWA","Rwanda","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","76800","false","8","kg","76800","false","76800","false","0","false",,"467465.835","467465.835","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2.24","false","8","kg","2.24","false","2.24","false","0","false",,"65.028","65.028","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","699","IND","India","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19200.49","false","8","kg","19200.49","false","19200.49","false","0","false",,"79050.098","79050.098","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","599930","false","8","kg","599930","false","599930","false","0","false",,"1613958.535","1613958.535","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","710","ZAF","South Africa","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.1","false","8","kg","0.1","false","0.1","false","0","false",,"10.643","10.643","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","0","false",,"19.689","19.689","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","800","UGA","Uganda","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","95916","false","8","kg","95916","false","95916","false","0","false",,"292342.885","292342.885","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","826","GBR","United Kingdom","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","55","false","8","kg","55","false","55","false","0","false",,"1169.014","1169.014","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","834","TZA","United Rep. of Tanzania","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46200","false","8","kg","46200","false","46200","false","0","false",,"178596.732","178596.732","0","false","true",
"C","M","20240101","2024","1","202401","710","ZAF","South Africa","M","Import","842","USA","USA","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60.37","false","8","kg","60.37","false","60.37","false","0","false",,"2308.068","2308.068","0","false","true",
