"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","0","W00","World","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14163842.807","true","-1","N/A","0","false","14163842.807","true","0","false","54754421.447","0","54754421.447","6","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","56","BEL","Belgium","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29","false","8","kg","29","false","29","false","0","false","433.798","0","433.798","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","216000","false","8","kg","216000","false","216000","false","0","false","548317.052","0","548317.052","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5014461","false","8","kg","5014461","false","5014461","false","0","false","17312843.247","0","17312843.247","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","108","BDI","Burundi","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10020","false","8","kg","10020","false","10020","false","0","false","64506.971","0","64506.971","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","170","COL","Colombia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2221172","false","8","kg","2221172","false","2221172","false","0","false","9043240.826","0","9043240.826","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","188","CRI","Costa Rica","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","940689","false","8","kg","940689","false","940689","false","0","false","4930836.93","0","4930836.93","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","203","CZE","Czechia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","47.853","0","47.853","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","218","ECU","Ecuador","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","690","false","8","kg","690","false","690","false","0","false","6278.114","0","6278.114","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","222","SLV","El Salvador","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1381","false","8","kg","1381","false","1381","false","0","false","5154.607","0","5154.607","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","231","ETH","Ethiopia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","793892","false","8","kg","793892","false","793892","false","0","false","5029943.747","0","5029943.747","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","276","DEU","Germany","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21926","false","8","kg","21926","false","21926","false","0","false","83920.751","0","83920.751","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","300","GRC","Greece","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.807","true","-1","N/A","0","false","0.807","true","0","false","3.121","0","3.121","6","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","320","GTM","Guatemala","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","812700","false","8","kg","812700","false","812700","false","0","false","3449110.495","0","3449110.495","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","340","HND","Honduras","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","376705","false","8","kg","376705","false","376705","false","0","false","1151142.905","0","1151142.905","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","201195","false","8","kg","201195","false","201195","false","0","false","779469.197","0","779469.197","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","380","ITA","Italy","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37989","false","8","kg","37989","false","37989","false","0","false","155246.783","0","155246.783","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","388","JAM","Jamaica","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10020","false","8","kg","10020","false","10020","false","0","false","477490.356","0","477490.356","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","404","KEN","Kenya","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","172681","false","8","kg","172681","false","172681","false","0","false","943233.825","0","943233.825","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","48","false","8","kg","48","false","48","false","0","false","202.855","0","202.855","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","393430","false","8","kg","393430","false","393430","false","0","false","1816433.651","0","1816433.651","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","528","NLD","Netherlands","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1944","false","8","kg","1944","false","1944","false","0","false","17903.288","0","17903.288","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","558","NIC","Nicaragua","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","312529","false","8","kg","312529","false","312529","false","0","false","1253551.583","0","1253551.583","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","604","PER","Peru","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","367779","false","8","kg","367779","false","367779","false","0","false","1293958.294","0","1293958.294","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","694","SLE","Sierra Leone","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","48159","false","8","kg","48159","false","48159","false","0","false","108528.669","0","108528.669","0","false","true",
"C","M","20180101","2018","1","201801","757","CHE","Switzerland","M","Import","699","IND","India","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","666312","false","8","kg","666312","false","666312","false","0","false","2421041.51","0","2421041.51","0","false","true",
