"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","104338028","false","8","kg","104338028","false","104338028","false","0","false","329421707","322106208","329421707","0","false","true",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","24","AGO","Angola","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13785","false","8","kg","13785","false","13785","false","0","false","66721","64350","66721","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","36","AUS","Australia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","165","false","8","kg","165","false","165","false","0","false","3378","2822","3378","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","105096","false","8","kg","105096","false","105096","false","0","false","918772","906970","918772","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32455495","false","8","kg","32455495","false","32455495","false","0","false","92845168","90868393","92845168","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","108","BDI","Burundi","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","85624","false","8","kg","85624","false","85624","false","0","false","393538","384914","393538","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2247","false","8","kg","2247","false","2247","false","0","false","10778","10757","10778","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","132","CPV","Cabo Verde","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11610","false","8","kg","11610","false","11610","false","0","false","189966","189551","189966","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","153600","false","8","kg","153600","false","153600","false","0","false","370587","349787","370587","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","170","COL","Colombia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29487936","false","8","kg","29487936","false","29487936","false","0","false","109762208","107734502","109762208","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","178","COG","Congo","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38400","false","8","kg","38400","false","38400","false","0","false","241867","237867","241867","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","153681","false","8","kg","153681","false","153681","false","0","false","866595","848173","866595","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","188","CRI","Costa Rica","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1932000","false","8","kg","1932000","false","1932000","false","0","false","8022802","7879693","8022802","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","214","DOM","Dominican Rep.","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2412","false","8","kg","2412","false","2412","false","0","false","15189","14466","15189","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","218","ECU","Ecuador","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","56275","false","8","kg","56275","false","56275","false","0","false","543817","537040","543817","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","222","SLV","El Salvador","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","304788","false","8","kg","304788","false","304788","false","0","false","980623","962746","980623","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","231","ETH","Ethiopia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","805247","false","8","kg","805247","false","805247","false","0","false","3148051","3048890","3148051","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","320","GTM","Guatemala","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3557924","false","8","kg","3557924","false","3557924","false","0","false","10648842","10413520","10648842","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","340","HND","Honduras","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4008351","false","8","kg","4008351","false","4008351","false","0","false","9731877","9507487","9731877","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3223763","false","8","kg","3223763","false","3223763","false","0","false","17182761","16887817","17182761","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","376","ISR","Israel","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7141","false","8","kg","7141","false","7141","false","0","false","48161","48106","48161","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","380","ITA","Italy","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10117","false","8","kg","10117","false","10117","false","0","false","135091","131567","135091","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","404","KEN","Kenya","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","328260","false","8","kg","328260","false","328260","false","0","false","1978240","1952814","1978240","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","454","MWI","Malawi","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","57601","false","8","kg","57601","false","57601","false","0","false","268687","265187","268687","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2521228","false","8","kg","2521228","false","2521228","false","0","false","7184914","7033477","7184914","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","490","S19","Other Asia, nes","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3000","false","8","kg","3000","false","3000","false","0","false","3296","3022","3296","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","558","NIC","Nicaragua","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1440715","false","8","kg","1440715","false","1440715","false","0","false","4667011","4571595","4667011","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","591","PAN","Panama","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20","false","8","kg","20","false","20","false","0","false","6375","6300","6375","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","598","PNG","Papua New Guinea","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1040828","false","8","kg","1040828","false","1040828","false","0","false","4395682","4305427","4395682","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","604","PER","Peru","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3516074","false","8","kg","3516074","false","3516074","false","0","false","12336956","12094454","12336956","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","608","PHL","Philippines","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8625","false","8","kg","8625","false","8625","false","0","false","15403","14149","15403","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","620","PRT","Portugal","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","850","false","8","kg","850","false","850","false","0","false","11374","10840","11374","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","626","TLS","Timor-Leste","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","90000","false","8","kg","90000","false","90000","false","0","false","383221","380953","383221","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","646","RWA","Rwanda","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","772811","false","8","kg","772811","false","772811","false","0","false","4052051","3955948","4052051","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","198762","false","8","kg","198762","false","198762","false","0","false","553456","537444","553456","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","704","VNM","Viet Nam","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16292163","false","8","kg","16292163","false","16292163","false","0","false","32574174","31203185","32574174","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","716","ZWE","Zimbabwe","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19080","false","8","kg","19080","false","19080","false","0","false","94300","90438","94300","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54122","false","8","kg","54122","false","54122","false","0","false","194591","186360","194591","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","764","THA","Thailand","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3137","false","8","kg","3137","false","3137","false","0","false","9437","8988","9437","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","800","UGA","Uganda","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1002214","false","8","kg","1002214","false","1002214","false","0","false","2445693","2385784","2445693","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","826","GBR","United Kingdom","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19200","false","8","kg","19200","false","19200","false","0","false","64185","60953","64185","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","834","TZA","United Rep. of Tanzania","0","W00","World","H5","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","553681","false","8","kg","553681","false","553681","false","0","false","2055869","2009472","2055869","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9583499","false","8","kg","9583499","false","9583499","false","0","false","34504563","33705765","34504563","0","false","true",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2032067","false","8","kg","2032067","false","2032067","false","0","false","7403040","7265179","7403040","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","326050","false","8","kg","326050","false","326050","false","0","false","1144348","1141909","1144348","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","202111","false","8","kg","202111","false","202111","false","0","false","841380","822860","841380","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","170","COL","Colombia","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1200501","false","8","kg","1200501","false","1200501","false","0","false","5079335","4966741","5079335","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","188","CRI","Costa Rica","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15203","false","8","kg","15203","false","15203","false","0","false","72653","71502","72653","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","218","ECU","Ecuador","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","293","false","8","kg","293","false","293","false","0","false","3886","3678","3886","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","231","ETH","Ethiopia","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","132174","false","8","kg","132174","false","132174","false","0","false","483597","467294","483597","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","276","DEU","Germany","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2318725","false","8","kg","2318725","false","2318725","false","0","false","7773061","7521464","7773061","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","320","GTM","Guatemala","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","34166","false","8","kg","34166","false","34166","false","0","false","169230","165269","169230","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","340","HND","Honduras","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","384975","false","8","kg","384975","false","384975","false","0","false","1521932","1500596","1521932","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","253918","false","8","kg","253918","false","253918","false","0","false","1072678","1052964","1072678","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","380","ITA","Italy","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","165","false","8","kg","165","false","165","false","0","false","4110","4092","4110","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","404","KEN","Kenya","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23525","false","8","kg","23525","false","23525","false","0","false","128163","126603","128163","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","567790","false","8","kg","567790","false","567790","false","0","false","1830572","1800797","1830572","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","558","NIC","Nicaragua","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","276783","false","8","kg","276783","false","276783","false","0","false","1208092","1186169","1208092","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","604","PER","Peru","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","276398","false","8","kg","276398","false","276398","false","0","false","1357190","1339280","1357190","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","620","PRT","Portugal","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","227","false","8","kg","227","false","227","false","0","false","3778","3694","3778","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","753","false","8","kg","753","false","753","false","0","false","9406","9073","9406","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","704","VNM","Viet Nam","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1096213","false","8","kg","1096213","false","1096213","false","0","false","3037610","2933283","3037610","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","724","ESP","Spain","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","226000","false","8","kg","226000","false","226000","false","0","false","777164","752580","777164","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","800","UGA","Uganda","0","W00","World","H5","HS","true","090112","Coffee; decaffeinated, not roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","215462","false","8","kg","215462","false","215462","false","0","false","583338","570738","583338","0","true","false",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6797454","false","8","kg","6797454","false","6797454","false","0","false","80185116","79010712","80185116","0","false","true",
"C","M","20180101","2018","1","201801","842","USA","USA","M","Import","36","AUS","Australia","0","W00","World","H5","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1440","false","8","kg","1440","false","1440","false","0","false","14670","11170","14670","0","true","false",
